clearVal,sn,districtName,dataDate,issueVal,issueTime,clearDate,issueDate,moveName,clearTime,issueGbn,itemCode
31,71,강원,2020-02-02,77,10:00,2020-02-03,2020-02-02,영서남부,4:00,주의보,PM25
84,172,강원,2020-04-22,175,9:00,2020-04-22,2020-04-22,영동북부,17:00,주의보,PM10
89,170,강원,2020-04-22,217,8:00,2020-04-22,2020-04-22,영서북부,16:00,주의보,PM10
98,180,강원,2020-05-11,164,13:00,2020-05-11,2020-05-11,영서북부,20:00,주의보,PM10
26,12,경기,2020-01-19,88,14:00,2020-01-20,2020-01-19,중부권,11:00,주의보,PM25
29,15,경기,2020-01-19,88,15:00,2020-01-20,2020-01-19,남부권,12:00,주의보,PM25
31,55,경기,2020-02-01,79,20:00,2020-02-03,2020-02-01,남부권,2:00,주의보,PM25
32,53,경기,2020-02-01,78,19:00,2020-02-02,2020-02-01,중부권,19:00,주의보,PM25
33,73,경기,2020-02-02,81,12:00,2020-02-02,2020-02-02,동부권,20:00,주의보,PM25
16,101,경기,2020-02-14,76,21:00,2020-02-16,2020-02-14,동부권,3:00,주의보,PM25
23,93,경기,2020-02-14,78,17:00,2020-02-16,2020-02-14,중부권,1:00,주의보,PM25
11,94,경기,2020-02-14,77,17:00,2020-02-16,2020-02-14,남부권,3:00,주의보,PM25
31,105,경기,2020-02-21,76,12:00,2020-02-21,2020-02-21,북부권,17:00,주의보,PM25
28,104,경기,2020-02-21,83,10:00,2020-02-21,2020-02-21,남부권,23:00,주의보,PM25
30,107,경기,2020-02-21,79,12:00,2020-02-21,2020-02-21,동부권,22:00,주의보,PM25
33,108,경기,2020-02-22,85,10:00,2020-02-22,2020-02-22,중부권,17:00,주의보,PM25
93,118,경기,2020-02-22,159,11:00,2020-02-22,2020-02-22,남부권,15:00,주의보,PM10
91,114,경기,2020-02-22,161,10:00,2020-02-22,2020-02-22,중부권,16:00,주의보,PM10
32,116,경기,2020-02-22,85,11:00,2020-02-22,2020-02-22,남부권,16:00,주의보,PM25
29,117,경기,2020-02-22,79,11:00,2020-02-22,2020-02-22,동부권,17:00,주의보,PM25
27,111,경기,2020-02-22,85,10:00,2020-02-22,2020-02-22,북부권,16:00,주의보,PM25
76,112,경기,2020-02-22,161,10:00,2020-02-22,2020-02-22,동부권,15:00,주의보,PM10
88,119,경기,2020-02-22,154,11:00,2020-02-22,2020-02-22,북부권,14:00,주의보,PM10
25,138,경기,2020-03-09,76,1:00,2020-03-10,2020-03-09,남부권,12:00,주의보,PM25
34,139,경기,2020-03-09,78,10:00,2020-03-09,2020-03-09,중부권,20:00,주의보,PM25
94,169,경기,2020-04-22,197,7:00,2020-04-22,2020-04-22,북부권,15:00,주의보,PM10
86,177,경기,2020-04-22,168,10:00,2020-04-22,2020-04-22,남부권,17:00,주의보,PM10
93,171,경기,2020-04-22,214,9:00,2020-04-22,2020-04-22,동부권,16:00,주의보,PM10
95,173,경기,2020-04-22,181,9:00,2020-04-22,2020-04-22,중부권,16:00,주의보,PM10
88,183,경기,2020-05-11,176,13:00,2020-05-12,2020-05-11,동부권,1:00,주의보,PM10
96,184,경기,2020-05-11,156,14:00,2020-05-12,2020-05-11,남부권,1:00,주의보,PM10
56,179,경기,2020-05-11,192,12:00,2020-05-12,2020-05-11,북부권,0:00,주의보,PM10
