Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,1550.000000,1565.949951,1530.050049,1547.199951,1487.164673,8037679
2022-12-13,1547.199951,1577.500000,1541.150024,1572.150024,1511.146484,6135067
2022-12-14,1582.000000,1588.500000,1573.000000,1579.400024,1518.115234,4976020
2022-12-15,1569.300049,1570.000000,1535.250000,1540.500000,1480.724609,6443866
2022-12-16,1525.000000,1549.500000,1512.050049,1522.199951,1463.134644,9630453
2022-12-19,1507.949951,1516.900024,1495.050049,1507.349976,1448.860962,6222740
2022-12-20,1501.000000,1516.000000,1482.449951,1507.300049,1448.812988,7396259
2022-12-21,1515.000000,1521.000000,1502.349976,1509.550049,1450.975586,6236361
2022-12-22,1521.500000,1529.949951,1511.750000,1522.050049,1462.990601,6302640
2022-12-23,1508.699951,1509.900024,1493.000000,1497.099976,1439.008789,6283822
2022-12-26,1500.500000,1509.900024,1496.349976,1502.400024,1444.103149,4115459
2022-12-27,1509.949951,1521.449951,1497.500000,1514.849976,1456.069824,4860076
2022-12-28,1505.099976,1524.949951,1498.500000,1510.150024,1451.552368,5029860
2022-12-29,1504.000000,1521.300049,1501.000000,1517.550049,1458.665283,4624745
2022-12-30,1528.000000,1530.400024,1504.050049,1508.199951,1449.677979,5060544
2023-01-02,1514.000000,1526.500000,1504.050049,1524.000000,1464.864990,3801140
2023-01-03,1519.849976,1532.650024,1515.099976,1522.550049,1463.471069,4551130
2023-01-04,1521.000000,1521.000000,1491.099976,1494.800049,1436.797852,7059590
2023-01-05,1505.900024,1505.900024,1469.250000,1475.199951,1417.958496,9868404
2023-01-06,1470.000000,1475.000000,1446.500000,1448.500000,1392.294556,6443714
2023-01-09,1448.199951,1489.349976,1448.199951,1484.449951,1426.849609,11498717
2023-01-10,1482.000000,1483.900024,1454.050049,1469.750000,1412.719971,7158624
2023-01-11,1470.000000,1494.000000,1464.000000,1471.250000,1414.161743,6173092
2023-01-12,1481.949951,1485.000000,1455.000000,1480.599976,1423.148926,6591385
2023-01-13,1483.500000,1519.400024,1468.000000,1503.650024,1445.304565,11610426
2023-01-16,1510.000000,1528.000000,1502.300049,1525.500000,1466.306763,6073063
2023-01-17,1527.000000,1542.199951,1524.000000,1539.500000,1479.763550,5922644
