clearVal,sn,districtName,dataDate,issueVal,issueTime,clearDate,issueDate,moveName,clearTime,issueGbn,itemCode
33,87,강원,2023-01-07,94,9:00,2023-01-09,2023-01-07,영서남부,15:00,주의보,PM25
24,114,강원,2023-01-07,77,18:00,2023-01-09,2023-01-07,영서북부,15:00,주의보,PM25
98,233,강원,2023-03-23,188,19:00,2023-03-24,2023-03-23,영동북부,2:00,주의보,PM10
95,267,강원,2023-03-24,153,10:00,2023-03-24,2023-03-24,영동남부,19:00,주의보,PM10
28,350,강원,2023-04-07,93,2:00,2023-04-07,2023-04-07,영서남부,16:00,주의보,PM25
33,352,강원,2023-04-07,83,8:00,2023-04-07,2023-04-07,영서북부,15:00,주의보,PM25
29,353,강원,2023-04-07,82,8:00,2023-04-07,2023-04-07,영동북부,15:00,주의보,PM25
459,364,강원,2023-04-11,269,20:00,2023-04-12,2023-04-11,영동북부,1:00,주의보,PM10
135,451,강원,2023-04-11,318,22:00,2023-04-12,2023-04-11,영동남부,20:00,경보,PM10
318,365,강원,2023-04-11,327,21:00,2023-04-11,2023-04-11,영동남부,22:00,주의보,PM10
149,450,강원,2023-04-12,459,1:00,2023-04-13,2023-04-12,영동북부,7:00,경보,PM10
328,448,강원,2023-04-12,219,2:00,2023-04-12,2023-04-12,영서남부,12:00,주의보,PM10
148,449,강원,2023-04-12,313,2:00,2023-04-13,2023-04-12,영서북부,6:00,경보,PM10
98,488,강원,2023-04-12,135,20:00,2023-04-14,2023-04-12,영동남부,8:00,주의보,PM10
149,473,강원,2023-04-12,328,12:00,2023-04-13,2023-04-12,영서남부,5:00,경보,PM10
313,447,강원,2023-04-11,273,0:00,2023-04-12,2023-04-12,영서북부,2:00,주의보,PM10
309,502,강원,2023-04-13,149,7:00,2023-04-13,2023-04-13,영동북부,15:00,주의보,PM10
99,501,강원,2023-04-13,148,6:00,2023-04-14,2023-04-13,영서북부,12:00,주의보,PM10
146,511,강원,2023-04-13,309,15:00,2023-04-14,2023-04-13,영동북부,6:00,경보,PM10
78,500,강원,2023-04-13,149,5:00,2023-04-13,2023-04-13,영서남부,13:00,주의보,PM10
94,529,강원,2023-04-14,146,6:00,2023-04-15,2023-04-14,영동북부,2:00,주의보,PM10
99,532,강원,2023-04-16,171,13:00,2023-04-16,2023-04-16,영서북부,16:00,주의보,PM10
97,604,강원,2023-04-21,209,21:00,2023-04-22,2023-04-21,영서남부,7:00,주의보,PM10
392,564,강원,2023-04-21,231,12:00,2023-04-21,2023-04-21,영동남부,15:00,주의보,PM10
358,565,강원,2023-04-21,165,14:00,2023-04-21,2023-04-21,영동북부,20:00,주의보,PM10
139,595,강원,2023-04-21,358,20:00,2023-04-22,2023-04-21,영동북부,0:00,경보,PM10
144,567,강원,2023-04-21,392,15:00,2023-04-22,2023-04-21,영동남부,10:00,경보,PM10
56,660,강원,2023-04-22,219,12:00,2023-04-23,2023-04-22,영동북부,0:00,주의보,PM10
95,657,강원,2023-04-22,144,10:00,2023-04-23,2023-04-22,영동남부,3:00,주의보,PM10
94,652,강원,2023-04-21,139,0:00,2023-04-22,2023-04-22,영동북부,2:00,주의보,PM10
98,705,강원,2023-05-21,166,19:00,2023-05-22,2023-05-21,영서남부,2:00,주의보,PM10
96,701,강원,2023-05-21,168,15:00,2023-05-22,2023-05-21,영서북부,4:00,주의보,PM10
90,703,강원,2023-05-21,181,16:00,2023-05-22,2023-05-21,영동북부,18:00,주의보,PM10
99,708,강원,2023-05-21,174,23:00,2023-05-22,2023-05-21,영동남부,22:00,주의보,PM10
96,753,강원,2023-05-22,164,17:00,2023-05-23,2023-05-22,영서남부,1:00,주의보,PM10
32,47,경기,2023-01-06,81,19:00,2023-01-09,2023-01-06,북부권,14:00,주의보,PM25
31,48,경기,2023-01-06,80,20:00,2023-01-09,2023-01-06,동부권,14:00,주의보,PM25
153,40,경기,2023-01-06,84,16:00,2023-01-07,2023-01-06,중부권,5:00,주의보,PM25
161,32,경기,2023-01-06,81,12:00,2023-01-07,2023-01-06,남부권,5:00,주의보,PM25
99,52,경기,2023-01-07,168,3:00,2023-01-08,2023-01-07,남부권,5:00,주의보,PM10
96,58,경기,2023-01-07,194,4:00,2023-01-08,2023-01-07,중부권,19:00,주의보,PM10
73,63,경기,2023-01-07,153,5:00,2023-01-07,2023-01-07,중부권,21:00,경보,PM25
74,64,경기,2023-01-07,161,5:00,2023-01-08,2023-01-07,남부권,2:00,경보,PM25
34,115,경기,2023-01-07,73,21:00,2023-01-08,2023-01-07,중부권,16:00,주의보,PM25
86,123,경기,2023-01-08,155,13:00,2023-01-09,2023-01-08,북부권,14:00,주의보,PM10
33,116,경기,2023-01-08,74,2:00,2023-01-09,2023-01-08,남부권,17:00,주의보,PM25
85,125,경기,2023-01-09,152,11:00,2023-01-09,2023-01-09,중부권,15:00,주의보,PM10
34,126,경기,2023-01-11,83,12:00,2023-01-13,2023-01-11,남부권,4:00,주의보,PM25
78,135,경기,2023-01-20,172,6:00,2023-01-20,2023-01-20,동부권,10:00,주의보,PM10
78,134,경기,2023-01-20,159,6:00,2023-01-20,2023-01-20,북부권,9:00,주의보,PM10
99,136,경기,2023-01-20,165,6:00,2023-01-20,2023-01-20,남부권,10:00,주의보,PM10
77,132,경기,2023-01-20,176,5:00,2023-01-20,2023-01-20,중부권,10:00,주의보,PM10
34,149,경기,2023-02-06,82,10:00,2023-02-08,2023-02-06,남부권,22:00,주의보,PM25
30,150,경기,2023-02-06,79,11:00,2023-02-08,2023-02-06,북부권,14:00,주의보,PM25
30,167,경기,2023-02-08,84,11:00,2023-02-08,2023-02-08,동부권,16:00,주의보,PM25
33,162,경기,2023-02-07,76,0:00,2023-02-08,2023-02-08,중부권,16:00,주의보,PM25
30,175,경기,2023-02-12,75,20:00,2023-02-13,2023-02-12,중부권,4:00,주의보,PM25
31,172,경기,2023-02-12,81,13:00,2023-02-13,2023-02-12,남부권,4:00,주의보,PM25
27,186,경기,2023-02-18,81,20:00,2023-02-19,2023-02-18,중부권,13:00,주의보,PM25
